"Civic Tech Organization",Investor1,"Investor Type","Investment Type","Investment Date2","Investment Round - Total Funding3","Individual Investor Funding (if disclosed)","Investment Round"
"Side.Cr, LLC.","SV Angel",Financial,"Private Investment",2011/07/01,,,"Side.Cr, LLC. Seed Investment"
"Side.Cr, LLC.","Thomas Varghese",Person,"Private Investment",2011/07/01,,,"Side.Cr, LLC. Seed Investment"
"Side.Cr, LLC.","Google Inc.",Corporate,"Private Investment",2012/10/10,10000000,,"Side.Cr, LLC. Series A"
"Side.Cr, LLC.","Lightspeed Venture Partners",Financial,"Private Investment",2012/10/10,10000000,,"Side.Cr, LLC. Series A"
"Side.Cr, LLC.",Overall,NA,"Private Investment",2012/10/10,10000000,10000000,"Side.Cr, LLC. Series A"
SkyTruth,Overall,NA,Grant,2012/01/01,10000,10000,"SkyTruth Awarded Tides Foundation Grant"
SkyTruth,"Tides Foundation",Foundation,Grant,2012/01/01,10000,,"SkyTruth Awarded Tides Foundation Grant"
"Skytruth, Inc.",Overall,NA,Grant,2011/01/01,50000,50000,"Skytruth, Inc. Awarded The Walton Family Foundation, Inc. Grant"
"Skytruth, Inc.","The Walton Family Foundation, Inc.",Foundation,Grant,2011/01/01,50000,,"Skytruth, Inc. Awarded The Walton Family Foundation, Inc. Grant"
"Skytruth, Inc.",Overall,NA,Grant,2012/12/31,75000,75000,"Skytruth, Inc. Awarded The Walton Family Foundation, Inc. Grant"
"Skytruth, Inc.","The Walton Family Foundation, Inc.",Foundation,Grant,2012/12/31,75000,,"Skytruth, Inc. Awarded The Walton Family Foundation, Inc. Grant"
SnapSense,Overall,NA,"Private Investment",2013/05/10,10000,15000,"GenX & Associates, LLC Private Investment"
SnapSense,"Points of Light",Foundation,"Private Investment",2013/05/10,10000,,"GenX & Associates, LLC Private Investment"
"Socrata, Inc.","Frazier Technology Ventures",Financial,"Private Investment",2013/06/13,18000000,,"Socrata, Inc. Private Investment"
"Socrata, Inc.",Morgenthaler,Financial,"Private Investment",2013/06/13,18000000,,"Socrata, Inc. Private Investment"
"Socrata, Inc.","OpenView Venture Partners",Financial,"Private Investment",2013/06/13,18000000,,"Socrata, Inc. Private Investment"
"Socrata, Inc.",Overall,NA,"Private Investment",2013/06/13,18000000,18000000,"Accela, Inc. Private Investment"
"Socrata, Inc.",In-Q-Tel,Other,"Private Investment",2013/09/03,,,"Socrata, Inc. Private Investment"
"Socrata, Inc.",Overall,NA,"Private Investment",2013/09/03,,,"Accela, Inc. Private Investment"
"Solar Mosaic, LLC",Overall,NA,"Private Investment",2011/06/02,150000,150000,"Solar Mosaic, LLC Private Investment"
"Solar Mosaic, LLC",Overall,NA,"Private Investment",2011/10/24,395000,395000,"Solar Mosaic, LLC Private Investment"
"Solar Mosaic, LLC",Overall,NA,"Private Investment",2012/05/14,3430000,3430000,"Solar Mosaic, LLC Private Investment"
"Solar Mosaic, LLC","Spring Ventures, LLC",Financial,"Private Investment",2012/05/14,3430000,,"Solar Mosaic, LLC Private Investment"
"Solar Mosaic, LLC",Overall,NA,"Private Investment",2012/10/02,640000,640000,"Solar Mosaic, LLC Private Investment"
"Solar Mosaic, LLC",Overall,NA,"Private Investment",2013/02/13,2500000,2500000,"Solar Mosaic, LLC Private Investment"
"Solar Mosaic, LLC",Overall,NA,"Private Investment",2013/04/25,250000,250000,"Solar Mosaic, LLC Private Investment"
"Solar Mosaic, LLC",Overall,NA,"Private Investment",2013/06/12,210000,210000,"Solar Mosaic, LLC Private Investment"
"Solar Mosaic, LLC",Overall,NA,"Private Investment",2013/06/28,450000,450000,"Solar Mosaic, LLC Private Investment"
"Solar Mosaic, LLC",Overall,NA,"Private Investment",2013/09/03,290000,290000,"Solar Mosaic, LLC Private Investment"
"Solar Mosaic, LLC",Overall,NA,"Private Investment",2013/11/19,387025,387025,"Solar Mosaic, LLC Private Investment"
"Sourcemap, Inc.","John S. and James L. Knight Foundation",Foundation,Grant,2012/09/01,20000,,"Sourcemap, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Sourcemap, Inc.",Overall,NA,Grant,2012/09/01,20000,20000,"Sourcemap, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Sourcemap, Inc.","African Media Initiative",Foundation,Grant,2012/11/28,12000,,"Sourcemap, Inc. The African News Innovation Challenge Grant"
"Sourcemap, Inc.",Overall,NA,Grant,2012/11/28,12000,12000,"Sourcemap, Inc. The African News Innovation Challenge Grant"
"Spare To Share, LLC",Overall,NA,"Private Investment",2013/04/13,150000,150000,"Spare To Share, LLC Seed Investment"
"Spending Stories (Tides Foundation)","John S. and James L. Knight Foundation",Foundation,Grant,2011/09/01,250000,,"Tides Foundation Awarded John S. and James L. Knight Foundation Grant"
"Spending Stories (Tides Foundation)",Overall,NA,Grant,2011/09/01,250000,250000,"Tides Foundation Awarded John S. and James L. Knight Foundation Grant"
"Spending Stories (Tides Foundation)",Overall,NA,Grant,2012/01/01,490450,490450,"Tides Foundation Awarded The Rockefeller Foundation Grant"
"Spending Stories (Tides Foundation)","The Ford Foundation",Foundation,Grant,2012/01/01,490450,,"Tides Foundation Awarded The Rockefeller Foundation Grant"
"Spending Stories (Tides Foundation)",Overall,NA,Grant,2013/01/01,750000,750000,"Tides Foundation Awarded The Rockefeller Foundation Grant"
"Spending Stories (Tides Foundation)","The Rockefeller Foundation",Foundation,Grant,2013/01/01,750000,,"Tides Foundation Awarded The Rockefeller Foundation Grant"
"Spinlister, Inc.",Overall,NA,"Private Investment",2012/03/01,225000,225000,"Spinlister, Inc. Seed Investment"
"Stichting Govcom.org","John D. and Catherine T. MacArthur Foundation",Foundation,Grant,2012/01/01,75000,,"Stichting Govcom.org Awarded John D. and Catherine T. MacArthur Foundation Grant"
"Stichting Govcom.org",Overall,NA,Grant,2012/01/01,75000,75000,"Stichting Govcom.org Awarded John D. and Catherine T. MacArthur Foundation Grant"
"Sum of Us","New Media Ventures",Financial,"Private Investment",2012/02/01,275000,,"Sum of Us Private Investment "
"Sum of Us",Overall,NA,"Private Investment",2012/02/01,275000,275000,"Sum of Us Private Investment "
"Sunlight Foundation","Alan A. Fischer",Person,Grant,2011/01/01,3695073,25000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Chang K. Park Foundation",Foundation,Grant,2011/01/01,3695073,50000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","craiglist Charitable Fund",Foundation,Grant,2011/01/01,3695073,25000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Kaphan Foundation",Foundation,Grant,2011/01/01,3695073,110000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Mark Cuban",Person,Grant,2011/01/01,3695073,100000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Michael R. Klein",Person,Grant,2011/01/01,3695073,1000000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Omidyar Network Commons LLC",Financial,Grant,2011/01/01,3695073,23246,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Open Society Institute",Foundation,Grant,2011/01/01,3695073,300000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Open Society Institute",Foundation,Grant,2011/01/01,3695073,40000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation",Overall,NA,Grant,2011/01/01,3695073,3695073,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Pew Charitable Trust ",Foundation,Grant,2011/01/01,3695073,228750,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Rita Allen Foundation",Foundation,Grant,2011/01/01,3695073,300000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Rockefeller Brothers Fund",Foundation,Grant,2011/01/01,3695073,40000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Rockefeller Family Fund",Foundation,Grant,2011/01/01,3695073,1000000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","SRA International, Inc.",Corporate,Grant,2011/01/01,3695073,75000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Stanton Foundation ",Foundation,Grant,2011/01/01,3695073,93077,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Stephen M. Silberstein Foundation",Foundation,Grant,2011/01/01,3695073,25000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","The Atlantic Philanthropies",Foundation,Grant,2011/01/01,3695073,200000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","The William and Flora Hewlett Foundation",Foundation,Grant,2011/01/01,3695073,60000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Alan A. Fischer",Person,Grant,2012/01/01,11982940,25000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Chang K. Park Foundation",Foundation,Grant,2012/01/01,11982940,91000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","craiglist Charitable Fund",Foundation,Grant,2012/01/01,11982940,25000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Google Inc.",Corporate,Grant,2012/01/01,11982940,2100000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Google Inc.",Corporate,Grant,2012/01/01,11982940,45000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","John D. and Catherine T. MacArthur Foundation",Foundation,Grant,2012/01/01,11982940,75000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Kaphan Foundation",Foundation,Grant,2012/01/01,11982940,50000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Michael R. Klein",Person,Grant,2012/01/01,11982940,1500000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Omidyar Network Commons LLC",Financial,Grant,2012/01/01,11982940,6000000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Open Society Institute",Foundation,Grant,2012/01/01,11982940,100000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Open Society Institute",Foundation,Grant,2012/01/01,11982940,22066,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation",Overall,NA,Grant,2012/01/01,11982940,11982940,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Pew Charitable Trust ",Foundation,Grant,2012/01/01,11982940,39874,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Robert R. McCormick Foundation",Foundation,Grant,2012/01/01,11982940,55000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Rockefeller Brothers Fund",Foundation,Grant,2012/01/01,11982940,80000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Rockefeller Family Fund",Foundation,Grant,2012/01/01,11982940,500000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Stanton Foundation ",Foundation,Grant,2012/01/01,11982940,25000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","The Atlantic Philanthropies",Foundation,Grant,2012/01/01,11982940,200000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","The Ford Foundation",Foundation,Grant,2012/01/01,11982940,300000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","The William and Flora Hewlett Foundation",Foundation,Grant,2012/01/01,11982940,750000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Alan A. Fischer",Person,Grant,2013/01/01,5619340,25000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Chang K. Park Foundation",Foundation,Grant,2013/01/01,5619340,50000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Fidelity Charitable Gift Fund",Foundation,Grant,2013/01/01,5619340,25645,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Foundation to Promote Open Society",Foundation,Grant,2013/01/01,5619340,40000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","John S. and James L. Knight Foundation",Foundation,Grant,2013/01/01,5619340,750000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Michael R. Klein",Person,Grant,2013/01/01,5619340,500000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Michael R. Klein",Person,Grant,2013/01/01,5619340,357500,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Omidyar Network Commons LLC",Financial,Grant,2013/01/01,5619340,2542062,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Omidyar Network Commons LLC",Financial,Grant,2013/01/01,5619340,60000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Open Society Foundations",Foundation,Grant,2013/01/01,5619340,125000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation",Overall,NA,Grant,2013/01/01,,,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Rockefeller Brothers Fund",Foundation,Grant,2013/01/01,5619340,40000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","Stanton Foundation",Foundation,Grant,2013/01/01,5619340,123488,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","The Ford Foundation",Foundation,Grant,2013/01/01,5619340,205000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","The Rockefeller Foundation",Foundation,Grant,2013/01/01,5619340,500000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","The William and Flora Hewlett Foundation",Foundation,Grant,2013/01/01,5619340,250000,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Sunlight Foundation","The William and Flora Hewlett Foundation",Foundation,Grant,2013/01/01,5619340,25645,"Sunlight Foundation Receives Annual Donations from Various Donors"
"Tamyca GmbH","Kizoo Technology Ventures",Financial,"Private Investment",2011/11/11,,,"Tamyca GmbH Early Round"
"Tamyca GmbH",Overall,NA,"Private Investment",2011/11/11,,,"Tamyca GmbH Early Round"
"TED (Sapling Foundation)","John S. and James L. Knight Foundation",Foundation,Grant,2012/12/10,985000,,"Sapling Foundation Awarded John S. and James L. Knight Foundation Grant"
"TED (Sapling Foundation)",Overall,NA,Grant,2012/12/10,985000,985000,"Sapling Foundation Awarded John S. and James L. Knight Foundation Grant"
Textizen,"John S. and James L. Knight Foundation",Foundation,Grant,2013/01/01,350000,,"Vox Metropolis, Inc. Awarded John S. and James L. Knight Foundation Grant"
Textizen,Overall,NA,Grant,2013/01/01,350000,350000,"Vox Metropolis, Inc. Awarded John S. and James L. Knight Foundation Grant"
"The Awesome Foundation","John S. and James L. Knight Foundation",Foundation,Grant,2011/06/23,244000,,"The Awesome Foundation Awarded John S. and James L. Knight Foundation Grant"
"The Awesome Foundation",Overall,NA,Grant,2011/06/23,244000,244000,"The Awesome Foundation Awarded John S. and James L. Knight Foundation Grant"
"The Awesome Foundation","John S. and James L. Knight Foundation",Foundation,Grant,2013/08/01,20000,,"The Awesome Foundation Awarded John S. and James L. Knight Foundation Grant"
"The Awesome Foundation",Overall,NA,Grant,2013/08/01,20000,20000,"The Awesome Foundation Awarded John S. and James L. Knight Foundation Grant"
"The CommonPlace Initiative, Inc.","John S. and James L. Knight Foundation",Foundation,Grant,2012/04/01,127400,,"The CommonPlace Initiative, Inc. Awarded John S. and James L. Knight Foundation Grant"
"The CommonPlace Initiative, Inc.",Overall,NA,Grant,2012/04/01,127400,127400,"The CommonPlace Initiative, Inc. Awarded John S. and James L. Knight Foundation Grant"
"The Home Swapping Company Limited","MMC Ventures",Financial,"Private Investment",2012/01/21,1320645,,"The Home Swapping Company Limited Early Round"
"The Home Swapping Company Limited",Overall,NA,"Private Investment",2012/01/21,1320645,1320645,"The Home Swapping Company Limited Early Round"
"The Home Swapping Company Limited","MMC Ventures",Financial,"Private Investment",2012/11/26,1282320,,"The Home Swapping Company Limited Private Investment"
"The Home Swapping Company Limited",Overall,NA,"Private Investment",2012/11/26,1282320,1282320,"The Home Swapping Company Limited Private Investment"
"The Home Swapping Company Limited","MMC VENTURES Ltd",Financial,"Private Investment",2013/09/25,1030000,,"The Home Swapping Company Limited Private Investment"
"The Home Swapping Company Limited",Overall,NA,"Private Investment",2013/09/25,1030000,1030000,"The Home Swapping Company Limited Private Investment"
"The Open Source Digital Voting Foundation","John S. and James L. Knight Foundation",Foundation,Grant,2013/06/23,50000,,"The Open Source Digital Voting Foundation Awarded John S. and James L. Knight Foundation Grant"
"The Open Source Digital Voting Foundation",Overall,NA,Grant,2013/06/23,50000,50000,"The Open Source Digital Voting Foundation Awarded John S. and James L. Knight Foundation Grant"
"The OpenGov Foundation (Madison)","John S. and James L. Knight Foundation",Foundation,Grant,2013/07/11,200000,,"The OpenGov Foundation (Madison) Awarded John S. and James L. Knight Foundation Grant"
"The OpenGov Foundation (Madison)",Overall,NA,Grant,2013/07/11,200000,200000,"The OpenGov Foundation (Madison) Awarded John S. and James L. Knight Foundation Grant"
"The OpenGov Foundation (Madison)",Overall,NA,Grant,2013/07/23,5000,5000,"The OpenGov Foundation (Madison) Awarded Shuttleworth Foundation Grant"
"The OpenGov Foundation (Madison)","Shuttleworth Foundation",Foundation,Grant,2013/07/23,5000,,"The OpenGov Foundation (Madison) Awarded Shuttleworth Foundation Grant"
"Tickengo Incorporated","Kima Ventures SAS",Financial,"Private Investment",2011/04/04,,,"Tickengo Incorporated Seed Investment"
"Tickengo Incorporated",Overall,NA,"Private Investment",2011/04/04,,,"Tickengo Incorporated Seed Investment"
"Tripid Philippines, Inc.","Kickstart Ventures",Financial,"Private Investment",2013/01/31,,,"Tripid Philippines, Inc. Seed Investment"
"Tripid Philippines, Inc.",Overall,NA,"Private Investment",2013/01/31,,,"Tripid Philippines, Inc. Seed Investment"
TurboVote,"New Media Ventures",Financial,"Private Investment",2012/01/01,17000,,"Democracy Works, Inc. Private Investment"
TurboVote,Overall,NA,"Private Investment",2012/01/01,17000,17000,"Democracy Works, Inc. Private Investment"
TurboVote,"John S. and James L. Knight Foundation",Foundation,Grant,2012/02/01,205000,,"Democracy Works, Inc. Awarded John S. and James L. Knight Foundation Grant"
TurboVote,Overall,NA,Grant,2012/02/01,205000,205000,"Democracy Works, Inc. Awarded John S. and James L. Knight Foundation Grant"
TurboVote,"Draper Richards Kaplan Foundation",Foundation,Grant,2012/03/21,300000,,"Democracy Works, Inc. Awarded Draper Richards Kaplan Foundation Grant"
TurboVote,Overall,NA,Grant,2012/03/21,300000,300000,"Democracy Works, Inc. Awarded Draper Richards Kaplan Foundation Grant"
TurboVote,"John S. and James L. Knight Foundation",Foundation,Grant,2012/06/01,45000,,"Democracy Works, Inc. Awarded John S. and James L. Knight Foundation Grant"
TurboVote,Overall,NA,Grant,2012/06/01,45000,45000,"Democracy Works, Inc. Awarded John S. and James L. Knight Foundation Grant"
TurboVote,"John S. and James L. Knight Foundation",Foundation,Grant,2013/04/18,1025000,,"Democracy Works, Inc. Awarded John S. and James L. Knight Foundation Grant"
TurboVote,Overall,NA,Grant,2013/04/18,1025000,1025000,"Democracy Works, Inc. Awarded John S. and James L. Knight Foundation Grant"
TurboVote,Overall,NA,Grant,2013/11/21,50000,50000,"Democracy Works, Inc. Awarded The William and Flora Hewlett Foundation Grant"
TurboVote,"The William and Flora Hewlett Foundation",Foundation,Grant,2013/11/21,50000,,"Democracy Works, Inc. Awarded The William and Flora Hewlett Foundation Grant"
"Uniiverse Collaborative Lifestyle Inc.",Overall,NA,"Private Investment",2012/02/07,750000,750000,"Uniiverse Collaborative Lifestyle Inc. Seed Investment"
"Uniiverse Collaborative Lifestyle Inc.",Overall,NA,"Private Investment",2013/07/22,1250000,1250000,"Uniiverse Collaborative Lifestyle Inc. Private Investment"
"Uniiverse Collaborative Lifestyle Inc.","Real Ventures",Financial,"Private Investment",2013/07/22,1250000,,"Uniiverse Collaborative Lifestyle Inc. Private Investment"
"Ushahidi, Inc.","John D. and Catherine T. MacArthur Foundation",Foundation,Grant,2011/01/01,350000,,"Ushahidi, Inc. Awarded John D. and Catherine T. MacArthur Foundation Grant"
"Ushahidi, Inc.",Overall,NA,Grant,2011/01/01,350000,350000,"Ushahidi, Inc. Awarded John D. and Catherine T. MacArthur Foundation Grant"
"Ushahidi, Inc.","John S. and James L. Knight Foundation",Foundation,Grant,2011/06/23,250000,,"Ushahidi, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Ushahidi, Inc.",Overall,NA,Grant,2011/06/23,250000,250000,"Ushahidi, Inc. Awarded John S. and James L. Knight Foundation Grant"
"Ushahidi, Inc.","Omidyar Network Commons LLC",Financial,Grant,2011/12/19,1900000,,"Ushahidi, Inc. Awarded Omidyar Network Commons LLC Grant"
"Ushahidi, Inc.",Overall,NA,Grant,2011/12/19,1900000,1900000,"Ushahidi, Inc. Awarded Omidyar Network Commons LLC Grant"
"Ushahidi, Inc.","John D. and Catherine T. MacArthur Foundation",Foundation,Grant,2012/01/01,100000,,"Ushahidi, Inc. Awarded John D. and Catherine T. MacArthur Foundation Grant"
"Ushahidi, Inc.","John D. and Catherine T. MacArthur Foundation",Foundation,Grant,2012/01/01,750000,,"Ushahidi, Inc. Awarded John D. and Catherine T. MacArthur Foundation Grant"
"Ushahidi, Inc.",Overall,NA,Grant,2012/01/01,100000,100000,"Ushahidi, Inc. Awarded John D. and Catherine T. MacArthur Foundation Grant"
"Ushahidi, Inc.",Overall,NA,Grant,2012/01/01,750000,750000,"Ushahidi, Inc. Awarded John D. and Catherine T. MacArthur Foundation Grant"
"Ushahidi, Inc.",Overall,NA,Grant,2012/10/01,50000,50000,"Ushahidi, Inc. Awarded The Rockefeller Foundation Grant"
"Ushahidi, Inc.","The Rockefeller Foundation",Foundation,Grant,2012/10/01,50000,,"Ushahidi, Inc. Awarded The Rockefeller Foundation Grant"
"Village Defense, Inc.",Overall,NA,"Private Investment",2013/05/10,10000,10000,"Village Defense, Inc. Private Investment"
"Village Defense, Inc.","Points of Light",Foundation,"Private Investment",2013/05/10,10000,,"Village Defense, Inc. Private Investment"
Vizzuality,"EU BON - Building the European Biodiversity Observation Network",Foundation,Grant,2013/01/07,392000,,"Vizzuality Awarded EU BON - Building the European Biodiversity Observation Network Grant"
Vizzuality,Overall,NA,Grant,2013/01/07,392000,392000,"Vizzuality Awarded EU BON - Building the European Biodiversity Observation Network Grant"
Vizzuality,"John S. and James L. Knight Foundation",Foundation,Grant,2013/12/01,35000,,"Vizzuality Awarded John S. and James L. Knight Foundation Grant"
Vizzuality,Overall,NA,Grant,2013/12/01,35000,35000,"Vizzuality Awarded John S. and James L. Knight Foundation Grant"
"Voiturelib SAS","Didier Kuhn",Person,"Private Investment",2011/10/04,667000,,"Voiturelib SAS Seed Investment"
"Voiturelib SAS","Emmanuel Guyot",Person,"Private Investment",2011/10/04,667000,,"Voiturelib SAS Seed Investment"
"Voiturelib SAS","Francis Nappez",Person,"Private Investment",2011/10/04,667000,,"Voiturelib SAS Seed Investment"
"Voiturelib SAS","Frederic Mazzella",Person,"Private Investment",2011/10/04,667000,,"Voiturelib SAS Seed Investment"
"Voiturelib SAS","Mathieu Castelli",Person,"Private Investment",2011/10/04,667000,,"Voiturelib SAS Seed Investment"
"Voiturelib SAS",Overall,NA,"Private Investment",2011/10/04,667000,667000,"Voiturelib SAS Seed Investment"
"Voiturelib SAS","Renaud Guillerm",Person,"Private Investment",2011/10/04,667000,,"Voiturelib SAS Seed Investment"
"Voiturelib SAS","Sylvain Guyot",Person,"Private Investment",2011/10/04,667000,,"Voiturelib SAS Seed Investment"
"Voiturelib SAS","Alven Capital",Financial,"Private Investment",2012/09/11,2579000,,"Voiturelib SAS Series A"
"Voiturelib SAS","Index Ventures",Financial,"Private Investment",2012/09/11,2579000,,"Voiturelib SAS Series A"
"Voiturelib SAS",Overall,NA,"Private Investment",2012/09/11,2579000,2579000,"Voiturelib SAS Series A"
"Votizen, Incorporated","A-Grade Investments",Financial,"Private Investment",2012/02/23,750000,,"Votizen, Incorporated Early Round"
"Votizen, Incorporated","Ashton Kutcher",Person,"Private Investment",2012/02/23,750000,,"Votizen, Incorporated Early Round"
"Votizen, Incorporated","Guy Oseary",Person,"Private Investment",2012/02/23,750000,,"Votizen, Incorporated Early Round"
"Votizen, Incorporated",Overall,NA,"Private Investment",2012/02/23,750000,750000,"Votizen, Incorporated Early Round"
"Votizen, Incorporated","Sean Parker",Person,"Private Investment",2012/02/23,750000,,"Votizen, Incorporated Early Round"
"Votizen, Incorporated","Troy Carter",Person,"Private Investment",2012/02/23,750000,,"Votizen, Incorporated Early Round"
votoLatino,"John S. and James L. Knight Foundation",Foundation,Grant,2011/07/01,37000,,"Silicon Valley Community Foundation Awarded John S. and James L. Knight Foundation Grant"
votoLatino,Overall,NA,Grant,2011/07/01,37000,37000,"Silicon Valley Community Foundation Awarded John S. and James L. Knight Foundation Grant"
votoLatino,Overall,NA,Grant,2013/11/21,50000,50000,"Silicon Valley Community Foundation Awarded The William and Flora Hewlett Foundation Grant"
votoLatino,"The William and Flora Hewlett Foundation",Foundation,Grant,2013/11/21,50000,,"Silicon Valley Community Foundation Awarded The William and Flora Hewlett Foundation Grant"
"Waze Mobile Ltd.","Horizons Ventures",Financial,"Private Investment",2011/10/17,30000000,,"Waze Mobile Ltd. Middle Round"
"Waze Mobile Ltd.","Kleiner Perkins Caufield & Byers, LLC",Financial,"Private Investment",2011/10/17,30000000,,"Waze Mobile Ltd. Middle Round"
"Waze Mobile Ltd.",Overall,NA,"Private Investment",2011/10/17,30000000,30000000,"Waze Mobile Ltd. Middle Round"
"Weathermob Inc.","Christopher Austin",Person,"Private Investment",2012/04/29,360000,,"Weathermob Inc. Private Investment"
"Weathermob Inc.","Drew Volpe",Person,"Private Investment",2012/04/29,360000,,"Weathermob Inc. Private Investment"
"Weathermob Inc.","Mark Hastings",Person,"Private Investment",2012/04/29,360000,,"Weathermob Inc. Private Investment"
"Weathermob Inc.",Overall,NA,"Private Investment",2012/04/29,360000,360000,"Weathermob Inc. Private Investment"
"Weathermob Inc.","Tim Albright",Person,"Private Investment",2012/04/29,360000,,"Weathermob Inc. Private Investment"
"Weathermob Inc.",Overall,NA,"Private Investment",2013/07/16,650000,650000,"Weathermob Inc. Private Investment"
"Wheelz, Inc.","Chamath Palihapitiya",Person,"Private Investment",2011/01/01,2000000,,"Wheelz, Inc. Seed Investment"
"Wheelz, Inc.","Felicis Ventures",Financial,"Private Investment",2011/01/01,2000000,,"Wheelz, Inc. Seed Investment"
"Wheelz, Inc.","Jim Freer",Person,"Private Investment",2011/01/01,2000000,,"Wheelz, Inc. Seed Investment"
"Wheelz, Inc.",Overall,NA,"Private Investment",2011/01/01,2000000,2000000,"Wheelz, Inc. Seed Investment"
"Wheelz, Inc.","Red Swan Ventures, LLC",Financial,"Private Investment",2011/01/01,2000000,,"Wheelz, Inc. Seed Investment"
"Wheelz, Inc.","Sebastian de Halleux",Person,"Private Investment",2011/01/01,2000000,,"Wheelz, Inc. Seed Investment"
"Wheelz, Inc.","Fontinalis Partners, LLC",Financial,"Private Investment",2012/02/22,1370000,,"Wheelz, Inc. Series A"
"Wheelz, Inc.",Overall,NA,"Private Investment",2012/02/22,1370000,1370000,"Wheelz, Inc. Series A"
"Wheelz, Inc.","Zipcar, Inc.",Corporate,"Private Investment",2012/02/22,1370000,,"Wheelz, Inc. Series A"
"Whipcar Limited",Castrol,Corporate,Grant,2012/06/15,10000,,"Whipcar Limited Awarded Castrol 20/20 Challenge Grant"
